0.1,0.000000
0.2,0.000000
0.3,0.000008
0.4,0.000544
0.5,0.003747
0.6,0.009569
0.7,0.027236
0.8,0.078156
0.9,0.143483
1.0,0.223454
1.1,0.305430
1.2,0.393742
1.3,0.472292
1.4,0.547094
1.5,0.604029
1.6,0.648335
1.7,0.682347
1.8,0.708760
1.9,0.730237
2.0,0.748170
2.1,0.763683
2.2,0.778296
2.3,0.791920
2.4,0.804741
2.5,0.816446
2.6,0.827145
2.7,0.836905
2.8,0.845156
2.9,0.851939
3.0,0.857428
3.1,0.861782
3.2,0.865330
3.3,0.868190
3.4,0.870430
3.5,0.872370
3.6,0.874008
3.7,0.875383
3.8,0.876626
3.9,0.878075
4.0,0.880117
4.1,0.882769
4.2,0.886014
4.3,0.889741
4.4,0.893818
4.5,0.897752
4.6,0.901452
4.7,0.904623
4.8,0.907470
4.9,0.909969
5.0,0.912297
5.1,0.914355
5.2,0.916217
5.3,0.917946
5.4,0.919556
5.5,0.921035
5.6,0.922399
5.7,0.923680
5.8,0.924900
5.9,0.926101
6.0,0.927202
6.1,0.928300
6.2,0.929420
6.3,0.930509
6.4,0.931633
6.5,0.932923
6.6,0.934361
6.7,0.936050
6.8,0.937956
6.9,0.939981
7.0,0.942039
7.1,0.943948
7.2,0.945753
7.3,0.947321
7.4,0.948762
7.5,0.950135
7.6,0.951461
7.7,0.952733
7.8,0.953955
7.9,0.955198
8.0,0.956444
8.1,0.957641
8.2,0.958912
8.3,0.960162
8.4,0.961356
8.5,0.962533
8.6,0.963726
8.7,0.964897
8.8,0.966084
8.9,0.967231
9.0,0.968391
9.1,0.969501
9.2,0.970581
9.3,0.971623
9.4,0.972688
9.5,0.973702
9.6,0.974692
9.7,0.975671
9.8,0.976628
9.9,0.977578
10.0,0.978494
10.1,0.979352
10.2,0.980249
10.3,0.981083
10.4,0.981855
10.5,0.982587
10.6,0.983334
10.7,0.984051
10.8,0.984730
10.9,0.985386
11.0,0.986018
11.1,0.986623
11.2,0.987194
11.3,0.987730
11.4,0.988223
11.5,0.988715
11.6,0.989153
11.7,0.989591
11.8,0.990043
